District,Area,col1,col2,col3,col4,col5,
Jungnang-gu,Mangu-dong,998294260.5,2175813896,4779,208891.8729,455286.4398,
Jungnang-gu,Myeonmok-dong,2601698959,5686944562,12530,207637.5865,453866.2859,
Jungnang-gu,Muk-dong,648824583.1,1432777896,3136,206895.5941,456880.7068,
Jungnang-gu,Sangbong-dong,626709336.9,1374311730,3019,207588.3858,455220.8446,
Jungnang-gu,Sinnae-dong,291371939,637309053.8,1396,208719.154,456525.1101,
Jungnang-gu,Junghwa-dong,884370210.5,1947600848,4275,206870.2247,455579.1458,
Gangnam-gu,Gaepo-dong,442713064.9,955147582.9,2160,204959.7523,442197.9551,
Gangnam-gu,Nonhyeon-dong,906186001.5,1992987274,4469,202771.5376,445958.2175,
Gangnam-gu,Daechi-dong,511038542.9,1107623814,2491,205153.9714,444650.2665,
Gangnam-gu,Dogok-dong,212027094.6,461232796.1,1041,203676.3636,443067.0472,
Gangnam-gu,Samseong-dong,483538067,1053369968,2362,204715.5237,445965.2702,
Gangnam-gu,Segok-dong,76517892.2,161312154.2,366,209065.2792,440743.5908,
Gangnam-gu,Suseo-dong,54451872.37,115607700.2,261,208627.8635,442941.38,
Gangnam-gu,Sinsa-dong,481610561.2,1063079192,2378,202527.5699,447047.5999,
Gangnam-gu,Apgujeong-dong,37698614.03,83285099.94,186,202680.7206,447769.3545,
Gangnam-gu,Yeoksam-dong,1005327413,2197780833,4944,203342.9233,444534.958,
Gangnam-gu,Yulhyeon-dong,69553173.99,146516940.9,332,209497.512,441316.0871,
Gangnam-gu,Irwon-dong,231446165.8,494894404.1,1116,207389.0375,443453.7671,
Gangnam-gu,Jagok-dong,78754035.55,166568832.5,377,208896.646,441827.1418,
Gangnam-gu,Cheongdam-dong,356461524.7,780635218.4,1746,204158.9488,447099.2087,
Gangdong-gu,Gangil-dong,87441483.34,183494407,406,215373.1117,451956.6675,
Gangdong-gu,Godeok-dong,309554380.7,652540771.6,1446,214076.3352,451273.0094,
Gangdong-gu,Gil-dong,439352084,927342483.6,2066,212658.3175,448858.8982,
Gangdong-gu,Dunchon-dong,309771334.5,652544374.6,1457,212609.0148,447868.4795,
Gangdong-gu,Myeongil-dong,217755100.2,459890367.3,1022,213067.6128,449990.5747,
Gangdong-gu,Sangil-dong,162350988.6,339701027.7,755,215034.4219,449935.1361,
Gangdong-gu,Seongnae-dong,886666047.4,1878875151,4194,211412.9822,447991.2138,
Gangdong-gu,Amsa-dong,646309649.3,1374494153,3052,211765.9401,450358.5035,
Gangdong-gu,Cheonho-dong,1314726927,2791416785,6212,211643.0984,449358.7871,
Gangbuk-gu,Mia-dong,2753060458,6235472256,13616,202193.0419,457951.8402,
Gangbuk-gu,Beon-dong,734398209.7,1663242082,3620,202872.4336,459459.1386,
Gangbuk-gu,Suyu-dong,2313245302,5280620028,11480,201502.204,459984.323,
Gangbuk-gu,Ui-dong,297774695.7,685066410.2,1482,200927.595,462258.0365,
Gangseo-gu,Gayang-dong,158088376.5,382781712.5,847,186645.0727,451926.4611,
Gangseo-gu,Gaehwa-dong,104373493.1,259493461.4,572,182471.1418,453659.8976,
Gangseo-gu,Gonghang-dong,392126958.7,963905902.2,2137,183494.1314,451055.6398,
Gangseo-gu,Gwahae-dong,3262808.917,8118088.199,18,181267.1621,451004.8999,
Gangseo-gu,Naebalsan-dong,244222480.6,593123833.4,1317,185438.4818,450359.7824,
Gangseo-gu,Deungchon-dong,463489641.2,1113626135,2473,187419.9924,450313.8435,
Gangseo-gu,Magok-dong,96077475.4,234969029.6,520,184764.3758,451863.5185,
Gangseo-gu,Banghwa-dong,720589001.9,1776883860,3929,183402.6475,452248.3736,
Gangseo-gu,Yeomchang-dong,177490846.2,423681960.9,941,188619.3902,450246.5046,
Gangseo-gu,Ogok-dong,3058038.963,7661790.375,17,179884.6449,450693.5515,
Gangseo-gu,Osoe-dong,3642045.779,8986029.996,20,182102.2889,449301.4998,
Gangseo-gu,Oebalsan-dong,31690714.95,77364977.44,172,184248.3427,449796.3805,
Gangseo-gu,Hwagok-dong,2546422521,6127810906,13654,186496.4494,448792.3617,
Gwanak-gu,Namhyeon-dong,217376948.8,484866886.7,1098,197975.3632,441590.9715,
Gwanak-gu,Bongcheon-dong,2861347313,6475766272,14632,195554.081,442575.6063,
Gwanak-gu,Sillim-dong,3986673119,9104702240,20607,193462.0818,441825.7019,
Gwangjin-gu,Gwangjang-dong,189088742,406531865.6,904,209168.9624,449703.3911,
Gwangjin-gu,Guui-dong,988884866,2137598750,4756,207923.6472,449453.0593,
Gwangjin-gu,Gunja-dong,436942473.8,953204967.7,2116,206494.5528,450474.9375,
Gwangjin-gu,Neung-dong,282299678.4,613421943.5,1362,207268.4863,450383.2185,
Gwangjin-gu,Jayang-dong,1398289805,3034947868,6769,206572.5816,448359.8564,
Gwangjin-gu,Junggok-dong,1630450302,3546928765,7858,207489.2215,451378.0561,
Gwangjin-gu,Hwayang-dong,497019872.5,1083125286,2410,206232.3122,449429.5791,
Guro-gu,Garibong-dong,303775894.2,707305407.9,1598,190097.5558,442619.1538,
Guro-gu,Gaebong-dong,867139201.5,2059891609,4640,186883.4486,443942.1571,
Guro-gu,Gocheok-dong,588514296.3,1397893647,3142,187305.6322,444905.6802,
Guro-gu,Guro-dong,1655879686,3868618274,8718,189938.0231,443750.6623,
Guro-gu,Gung-dong,171553479.4,411750838.9,927,185063.0845,444175.6622,
Guro-gu,Sindorim-dong,232285485.3,546250243.7,1226,189466.1381,445554.8481,
Guro-gu,Oryu-dong,493707634.3,1178783501,2656,185883.8985,443819.0892,
Guro-gu,Onsu-dong,93902265.03,226334187.1,510,184122.0883,443792.5237,
Guro-gu,Cheonwang-dong,32358980.5,76981114.17,174,185971.1523,442420.1964,
Guro-gu,Hang-dong,68240376.76,163734070.8,370,184433.4507,442524.5156,
Geumcheon-gu,Gasan-dong,327283482,761084417.8,1722,190060.0941,441977.0138,
Geumcheon-gu,Doksan-dong,1412341634,3258013677,7386,191218.7428,441106.6446,
Geumcheon-gu,Siheung-dong,1344246553,3080224526,7012,191706.5821,439279.0254,
Nowon-gu,Gongneung-dong,719685845.8,1593439349,3476,207044.2594,458411.7805,
